Author,URL_Domain,Web_Depth,Date,PageRank_Score,Number_of_reference,Number_of_external_link,Count_Word,Tf_Score,Bm25_Score,Rank
0,1,1,2016.80882,6.51E-10,0,87,719,0.612211877,0.903612138,5
1,0,2,2019,1.04E-09,1,299,1185,0.925056418,1.939610567,2
1,0,1,2015,6.51E-10,1,2,719,1.112211877,1.903612138,5
0,1,1,2016,1.14E-10,1,73,1436,0.509366402,0.929497235,2
1,1,1,2018,5.82E-08,22,129,2078,0.987149522,1.978482795,7
0,1,1,2019,8.40E-10,1,44,290,1.391801886,1.885078947,2
0,0,1,2016.80882,6.66E-10,0,76,651,0.293106586,1.12358075,2
0,0,1,2016.80882,9.21E-10,0,45,20,0.171498585,0.274653072,2
1,0,1,2018,1.04E-08,16,19,778,1.128177474,1.815210942,6
1,1,1,2019,1.12E-08,20,97,1302,1.834794465,1.921868295,7
0,0,1,2015,1.38E-08,0,20,495,2.359907875,1.903605981,7
1,0,1,2013,3.85E-08,0,92,476,1.948015367,2.392361532,5
0,1,1,2015,1.10E-09,1,69,1324,0.297264384,0.302640285,4
1,1,1,2018,0.000000022,0,222,534,2.31905194,2.274653072,6
1,0,1,2018,2.53E-10,0,134,146,0.242250792,0.307061265,1
0,1,1,2016.80882,0.000000092,0,32,1739,2.287722614,2.173517672,7
1,0,2,2018,1.78E-09,1,205,809,1.03133284,0.884993233,5
1,0,1,2012,5.52E-09,7,106,644,2.6520712,1.925040913,6
1,1,1,2018,7.62E-09,6,97,1767,2.426698404,1.720049543,7
1,0,1,2007,9.44E-09,4,38,3020,1.96928431,1.313026036,6
1,0,2,2018,1.25E-10,17,241,717,0.417723088,1.16457025,4
1,0,1,2019,1.03E-08,79,104,1995,2.172389951,2.410413559,7
1,1,1,2019,2.22E-09,0,515,2417,1.721625971,1.787395689,6
0,1,1,2016.80882,7.37E-09,4,27,120,0.338642731,0.850116652,4
1,1,1,2018,8.73E-09,0,21,476,1.429466711,1.028752796,5
1,0,1,2016,7.92E-09,8,11,407,0.21374115,0.802832057,3
1,1,1,2017,0.00000001,15,116,1678,1.44421548,1.929470556,6
1,1,1,2016.80882,1.03E-08,0,56,3305,2.08385595,1.956856451,7
0,1,1,2015,8.66E-10,0,68,1253,0.241927727,0.313852945,2
0,1,1,2018,8.16E-09,0,28,96,0,0,1
1,1,1,2010,8.61E-08,11,44,2119,3.084400142,1.927548207,7
1,0,3,2014,2.89E-10,2,273,741,0.230016972,0.775220806,2
1,0,1,2014,1.12E-08,0,6,122,0,0,1
0,1,1,2017,1.16E-10,0,72,585,0.242010637,0.402875285,2
1,1,1,2016.80882,1.08E-10,0,27,944,0.314072839,1.089362839,4
0,1,1,2016.80882,1.05E-08,4,18,1525,3.556461503,2.911044337,7
0,0,1,2016.80882,1.31E-10,0,15,839,0.410741596,0.547825724,1
0,1,1,2018,1.42E-08,1,32,2120,3.136522064,1.990251251,7
0,1,1,2015,5.92E-08,11,44,890,2.271152144,2.318821872,5
1,1,1,2018,0.000000097,0,27,1410,3.345963919,2.536208207,6
1,1,1,2018,7.94E-08,9,121,1422,2.567070036,2.312138754,6
1,1,1,2018,1.53E-09,0,8,1485,1.217464113,1.046297418,5
1,0,3,2017,8.29E-08,3,261,1724,2.46263465,2.204190282,6
1,1,1,2016.80882,0.000000013,0,13,290,0.293,1.273391516,2
1,1,1,2016.80882,5.62E-08,0,240,1291,2.627,2.536003231,6
1,0,1,2019,1.08E-08,0,15,199,0.0501,0,1
0,0,1,2016.80882,6.63E-09,0,35,414,0.413,1.114970936,2
0,1,1,2016.80882,8.09E-09,0,53,731,0.347,1.143963167,2
1,0,1,2019,6.33E-08,10,22,1318,2.618,1.50061077,6
1,1,1,2019,1.29E-08,0,8,3329,1.53,1.571235759,6
0,0,1,2016.80882,8.89E-10,0,2,416,0.872,1.062247074,5
0,0,1,2012,7.38E-09,4,14,73,0.382,0.850116652,2
1,0,1,2019,6.20E-09,11,35,29,0,0,3
0,1,1,2016.80882,5.46E-09,0,85,527,1.789,1.669026714,5
1,0,1,2017,8.29E-08,1,261,1724,2.342,2.638728075,6
1,0,1,2018,7.22E-09,3,46,1086,2.153,1.565462207,5
1,0,1,2017,2.11E-09,9,96,110,0,0,4
0,1,1,2016.80882,1.93E-08,0,107,1352,1.482,1.615601713,5
0,1,1,2016.80882,1.39E-08,0,7,3362,1.514,1.679696997,5
1,0,1,2019,1.16E-08,0,38,223,0.109,0.392361532,3
1,0,1,2019,8.15E-09,0,9,397,0.4,0.624211528,3
0,1,1,2016.80882,1.03E-08,0,56,3305,2.553819811,2.680134579,6
0,1,1,2016.80882,6.31E-09,0,79,531,0,0,2
1,0,1,2016.80882,1.05E-08,3,12,575,1.448979592,2.198882458,5
1,0,1,2018,9.98E-09,4,20,554,1.115813715,2.915510241,5
1,1,1,2012,6.59E-08,4,75,1449,2.199199279,2.098612289,6
0,0,1,2018,6.32E-09,0,11,154,0.880771012,1.156433988,4
0,0,1,2016.80882,1.46E-09,0,66,14245,0.20819873,0.361989724,4
0,1,1,2016.80882,0.000000025,0,82,413,2.752101433,2.239813241,6
1,1,1,2013,1.22E-08,11,18,1616,3.117489067,2.915510241,7
0,1,1,2016.80882,1.17E-08,0,11,225,0.033520076,0.274653072,2
0,1,1,2015,1.15E-08,1,25,2120,1.874735703,1.749591058,6
1,0,1,2015,9.41E-09,5,33,1102,1.568421291,1.483839974,5
1,0,7,2018,2.50E-09,1,286,1896,0.967489406,1.732025635,5
0,0,1,2016.80882,5.94E-09,0,79,709,1.255815021,1.020139982,4
0,1,1,2018,9.38E-09,1,45,315,1.877787728,2.254934105,5
0,1,1,2016.80882,1.49E-08,0,56,1349,1.802644163,2.192111207,6
0,0,1,2018,0.000000009,0,11,153,1.734803445,1.884993233,4
0,0,1,2016.80882,4.34E-09,0,53,77,0.306186218,0.667014604,2
1,1,1,2016.80882,2.18E-08,0,95,1671,3.054023258,2.815346204,7
0,1,1,2016.80882,1.33E-08,0,17,679,2.460772783,2.373265361,6
0,1,1,2016.80882,2.31E-09,0,316,2186,1.180523977,3.183980472,6
1,1,1,2016.80882,6.88E-09,2,30,91,0.456171553,1.077485129,3
0,1,1,2016.80882,0.000000012,8,8,177,0.359675001,2.047413811,4
1,1,1,2016.80882,1.52E-09,0,7,3642,0.669151045,0.994220133,5
1,0,1,2019,3.58E-08,10,459,3741,3.199393691,3.277113499,6
1,0,1,2019,1.13E-08,10,11,188,0.372440546,2.316945147,5
1,0,1,2017,1.28E-08,6,10,311,0.097953472,0.392361532,3
1,0,1,2017,2.03E-08,9,279,1770,3.293967557,2.241406158,7
1,0,1,2017,0.000000003,3,121,1085,0.985629921,2.168691835,5
0,1,1,2018,1.05E-08,1,43,340,0.14845962,0.242805063,1
1,1,1,2018,3.15E-10,0,86,1153,0.210818511,0.499369222,3
0,1,1,2016.80882,1.11E-10,0,62,4008,0.506403269,0.303954917,2
0,0,1,2016.80882,1.37E-09,1,82,189,0.246529216,0.27607229,1
1,1,1,2019,8.59E-08,0,69,1086,2.229135718,2.296181945,7
1,1,1,2016.80882,4.59E-08,0,83,1567,2.885818452,2.6103882,7
1,1,1,2018,7.05E-09,4,32,1198,0.702781928,1.081966648,7
1,1,1,2016,1.21E-08,0,13,362,1.883452209,1.737487833,6
1,0,1,2012,1.14E-08,8,8,1385,2.774450284,2.705740132,7
0,1,1,2016.80882,7.54E-09,0,27,93,0.224230528,0.667014604,3
1,0,1,2018,2.09E-09,1,263,754,0.558200665,1.753496427,4
1,1,1,2016.80882,2.60E-09,0,65,134,0.699854212,1.441036898,3
0,0,1,2016.80882,3.05E-09,0,218,2418,1.008510615,1.992504057,5
1,0,1,2018,9.99E-08,0,19,501,3.058080232,2.667014604,6
